new	372.82	333.22	134.32
past	348.10	322.70	129.35
past	331.39	300.30	120.35
past	307.74	287.29	116.51
past	293.34	264.16	107.51
past	269.96	239.39	101.84
past	254.85	219.98	92.84
past	232.33	198.42	89.17
past	207.33	178.89	80.17
past	191.29	168.44	71.17
future	176.28	153.09	63.47
future	154.74	135.51	54.47
future	139.70	115.57	45.47
future	123.44	100.64	43.82
future	106.30	88.43	35.41
future	81.30	64.29	28.88
future	56.30	49.31	19.88
future	31.73	33.08	11.40
future	12.72	16.06	11.93
future	-4.46	-5.65	2.93
new	373.24	334.80	134.32
past	349.44	324.69	129.44
past	329.85	299.42	120.38
past	305.82	287.64	116.59
past	291.95	264.78	107.72
past	270.83	236.91	102.07
past	253.71	222.08	92.63
past	233.84	197.24	89.21
past	205.38	180.66	80.00
past	191.05	168.35	71.02
future	176.28	153.09	63.47
future	154.74	135.51	54.47
future	139.70	115.57	45.47
future	123.44	100.64	43.82
future	106.30	88.43	35.41
future	81.30	64.29	28.88
future	56.30	49.31	19.88
future	31.73	33.08	11.40
future	12.72	16.06	11.93
future	-4.46	-5.65	2.93
new	373.19	334.94	134.45
past	345.87	320.66	129.38
past	332.70	302.25	120.24
past	305.77	285.38	116.70
past	293.06	265.24	107.44
past	272.10	241.66	101.87
past	253.72	219.12	93.09
past	232.27	200.32	88.94
past	206.86	178.98	80.24
past	189.33	168.11	71.19
future	176.28	153.09	63.47
future	154.74	135.51	54.47
future	139.70	115.57	45.47
future	123.44	100.64	43.82
future	106.30	88.43	35.41
future	81.30	64.29	28.88
future	56.30	49.31	19.88
future	31.73	33.08	11.40
future	12.72	16.06	11.93
future	-4.46	-5.65	2.93
new	374.47	331.52	134.18
past	349.24	324.88	129.48
past	331.72	297.91	120.27
past	306.22	288.94	116.27
past	294.62	264.63	107.55
past	268.44	241.38	101.62
past	256.61	220.15	92.77
past	234.68	197.13	89.20
past	206.54	178.13	80.11
past	193.64	166.72	70.93
future	176.28	153.09	63.47
future	154.74	135.51	54.47
future	139.70	115.57	45.47
future	123.44	100.64	43.82
future	106.30	88.43	35.41
future	81.30	64.29	28.88
future	56.30	49.31	19.88
future	31.73	33.08	11.40
future	12.72	16.06	11.93
future	-4.46	-5.65	2.93
